Date,Open,High,Low,Close,Volume
2020-01-02,323.54,324.89,322.53,324.87,3458000
2020-01-03,321.16,323.64,321.02,322.41,3612000
2020-01-06,320.43,322.75,319.78,321.73,3284000
2020-01-07,322.37,323.27,321.65,322.18,3156000
2020-01-08,322.95,325.44,322.58,325.14,3845000
2020-01-09,326.26,327.35,325.84,326.98,3521000
2020-01-10,327.23,327.85,326.12,326.63,2987000
2020-01-13,327.18,328.95,327.01,328.56,3145000
2020-01-14,328.42,329.01,326.95,327.48,3278000
2020-01-15,327.21,328.15,326.54,327.87,2965000
2020-01-16,328.43,329.67,328.12,329.34,3156000
2020-01-17,329.84,330.93,329.45,330.67,3423000
2020-01-21,329.76,331.15,329.42,330.24,3187000
2020-01-22,330.58,331.34,329.87,330.12,2945000
2020-01-23,330.45,331.56,329.95,331.23,3067000
2020-01-24,331.67,332.45,329.76,329.84,3542000
2020-01-27,327.54,328.67,325.43,326.12,4123000
2020-01-28,327.35,329.45,327.12,328.76,3456000
2020-01-29,329.56,330.23,328.95,329.12,3187000
2020-01-30,328.45,329.67,326.54,327.23,3567000
2020-01-31,326.78,327.45,323.56,324.34,4234000
2020-02-03,325.67,328.45,325.12,327.89,3678000
2020-02-04,329.34,332.56,329.12,331.45,3845000
2020-02-05,332.12,334.67,331.89,333.78,3956000
2020-02-06,334.23,335.45,333.87,334.98,3234000
2020-02-07,334.12,334.56,332.45,333.12,3123000
2020-02-10,333.67,335.23,333.45,334.87,2987000
2020-02-11,335.34,336.78,335.12,336.45,3156000
2020-02-12,336.89,338.12,336.54,337.67,3345000
2020-02-13,337.23,337.89,335.67,336.12,3234000
2020-02-14,336.34,337.23,335.89,336.78,2876000
2020-02-18,335.12,336.45,333.67,334.23,3567000
2020-02-19,335.23,336.89,334.78,336.34,3123000
2020-02-20,336.12,336.78,334.23,334.89,3456000
2020-02-21,334.12,334.67,331.45,332.12,3789000
2020-02-24,328.67,329.45,325.34,326.78,4567000
2020-02-25,326.12,327.34,323.56,324.23,4789000
2020-02-26,325.45,327.12,323.89,325.34,4234000
2020-02-27,322.34,323.67,318.45,319.67,5123000
2020-02-28,316.78,321.34,314.56,318.34,5678000
2020-03-02,320.12,326.45,319.67,325.23,4987000
2020-03-03,325.67,328.34,322.12,323.45,4567000
2020-03-04,325.34,328.67,325.12,327.89,3987000
2020-03-05,326.12,327.45,323.34,324.56,4123000
2020-03-06,320.34,323.67,318.56,321.23,4789000
2020-03-09,312.34,315.67,308.45,311.34,5678000
2020-03-10,315.23,318.45,310.12,314.67,5234000
2020-03-11,313.45,315.23,308.67,310.12,5456000
2020-03-12,298.34,305.67,295.12,300.45,6789000
2020-03-13,303.45,312.34,298.67,308.34,6234000
